,Title,Rating,Director,Year,Duration (mins)
0,Come and See ,4.65,Elem Klimov,1985,142
1,Seven Samurai ,4.6,Akira Kurosawa,1954,207
2,"The Good, the Bad and the Ugly ",4.49,Sergio Leone,1966,161
3,Portrait of a Lady on Fire ,4.44,Céline Sciamma,2019,120
4,Apocalypse Now ,4.44,Francis Ford Coppola,1979,147
5,The Apartment ,4.43,Billy Wilder,1960,125
6,Stalker ,4.43,Andrei Tarkovsky,1979,162
7,The Pianist ,4.36,Roman Polanski,2002,150
8,The Silence of the Lambs ,4.33,Jonathan Demme,1991,119
9,M ,4.32,Fritz Lang,1931,111
10,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,4.31,Stanley Kubrick,1964,95
11,The Hunt ,4.29,Thomas Vinterberg,2012,116
12,Mulholland Drive ,4.25,David Lynch,2001,147
13,Past Lives ,4.25,Celine Song,2023,106
14,Raging Bull ,4.25,Martin Scorsese,1980,129
15,Vertigo ,4.24,Alfred Hitchcock,1958,128
16,The King of Comedy ,4.24,Martin Scorsese,1982,109
17,Fargo ,4.23,Joel Coen,1996,98
18,Boogie Nights ,4.22,Paul Thomas Anderson,1997,156
19,Once Upon a Time in America ,4.21,Sergio Leone,1984,229
20,Trainspotting ,4.19,Danny Boyle,1996,94
21,"Synecdoche, New York ",4.19,Charlie Kaufman,2008,124
22,PlayTime ,4.19,Jacques Tati,1967,115
23,Casino ,4.19,Martin Scorsese,1995,179
24,Anatomy of a Fall ,4.19,Justine Triet,2023,152
25,Sound of Metal ,4.19,Darius Marder,2019,120
26,The Long Goodbye ,4.17,Robert Altman,1973,112
27,Little Miss Sunshine ,4.16,"Jonathan Dayton, Valerie Faris",2006,102
28,The Big Lebowski ,4.14,Joel Coen,1998,117
29,Blade Runner 2049 ,4.13,Denis Villeneuve,2017,164
30,Dogville ,4.13,Lars von Trier,2003,178
31,A Clockwork Orange ,4.13,Stanley Kubrick,1971,137
32,American History X ,4.12,Tony Kaye,1998,119
33,After Hours ,4.11,Martin Scorsese,1985,97
34,Requiem for a Dream ,4.1,Darren Aronofsky,2000,102
35,Chimp Empire ,4.1,James Reed,2023,187
36,Brokeback Mountain ,4.1,Ang Lee,2005,134
37,In Bruges ,4.1,Martin McDonagh,2008,108
38,The Royal Tenenbaums ,4.1,Wes Anderson,2001,110
39,Another Round ,4.08,Thomas Vinterberg,2020,117
40,Being John Malkovich ,4.07,Spike Jonze,1999,113
41,The Lighthouse ,4.05,Robert Eggers,2019,109
42,The Favourite ,4.05,Yorgos Lanthimos,2018,119
43,The Fabelmans ,4.02,Steven Spielberg,2022,151
44,"Three Billboards Outside Ebbing, Missouri ",4.02,Martin McDonagh,2017,115
45,All of Us Strangers ,4.02,Andrew Haigh,2023,105
46,Eyes Wide Shut ,4.01,Stanley Kubrick,1999,159
47,Punch-Drunk Love ,4.0,Paul Thomas Anderson,2002,96
48,Shaun of the Dead ,3.98,Edgar Wright,2004,99
49,Hereditary ,3.98,Ari Aster,2018,128
50,About Time ,3.98,Richard Curtis,2013,123
51,Guillermo del Toro's Pinocchio ,3.98,"Guillermo del Toro, Mark Gustafson",2022,117
52,Decision to Leave ,3.97,Park Chan-wook,2022,138
53,Sicario ,3.96,Denis Villeneuve,2015,122
54,The Irishman ,3.92,Martin Scorsese,2019,209
55,The Girl with the Dragon Tattoo ,3.87,David Fincher,2011,158
56,Four Lions ,3.86,Chris Morris,2010,97
57,Lost in Translation ,3.85,Sofia Coppola,2003,102
58,May December ,3.85,Todd Haynes,2023,117
59,CODA ,3.85,Siân Heder,2021,112
60,Beautiful Boy ,3.85,Felix van Groeningen,2018,120
61,Blazing Saddles ,3.83,Mel Brooks,1974,93
62,Boyhood ,3.82,Richard Linklater,2014,166
63,Dirty Harry ,3.81,Don Siegel,1971,102
64,The Big Short ,3.81,Adam McKay,2015,131
65,Eighth Grade ,3.8,Bo Burnham,2018,94
66,What's Eating Gilbert Grape ,3.79,Lasse Hallström,1993,118
67,BlackBerry ,3.78,Matt Johnson,2023,119
68,Lars and the Real Girl ,3.78,Craig Gillespie,2007,106
69,A Ghost Story ,3.78,David Lowery,2017,93
70,Sideways ,3.77,Alexander Payne,2004,127
71,Coherence ,3.76,James Ward Byrkit,2013,89
72,The Game ,3.75,David Fincher,1997,129
73,The Aviator ,3.74,Martin Scorsese,2004,170
74,Baby Driver ,3.73,Edgar Wright,2017,113
75,A Nightmare on Elm Street ,3.73,Wes Craven,1984,91
76,The Trial of the Chicago 7 ,3.73,Aaron Sorkin,2020,130
77,Brick ,3.72,Rian Johnson,2005,110
78,Mud ,3.69,Jeff Nichols,2012,130
79,First Man ,3.67,Damien Chazelle,2018,141
80,The Gentlemen ,3.67,Guy Ritchie,2019,113
81,Swiss Army Man ,3.66,"Daniel Scheinert, Daniel Kwan",2016,97
82,,3.65,Marc Webb,2009,95
83,Licorice Pizza ,3.6,Paul Thomas Anderson,2021,133
84,21 Jump Street ,3.57,"Phil Lord, Christopher Miller",2012,109
85,Jarhead ,3.57,Sam Mendes,2005,123
86,X-Men: First Class ,3.56,Matthew Vaughn,2011,132
87,Tropic Thunder ,3.55,Ben Stiller,2008,107
88,Passages ,3.54,Ira Sachs,2023,92
89,Demolition ,3.51,Jean-Marc Vallée,2015,101
90,Panic Room ,3.49,David Fincher,2002,111
91,Game Night ,3.49,"John Francis Daley, Jonathan Goldstein",2018,100
92,mother! ,3.46,Darren Aronofsky,2017,121
93,Emergency ,3.44,Carey Williams,2022,105
94,Spaceballs ,3.42,Mel Brooks,1987,96
95,Last Night in Soho ,3.4,Edgar Wright,2021,116
96,Cloverfield ,3.37,Matt Reeves,2008,85
97,The King ,3.36,David Michôd,2019,140
98,Weekend at Bernie's ,3.14,Ted Kotcheff,1989,97
99,We're All Going to the World's Fair ,3.06,Jane Schoenbrun,2021,86
100,Burnt ,3.0,John Wells,2015,100
